日付,実測値,予測値,予測値下限,予測値上限,効果,効果下限,効果上限,累積実測値,累積予測値,累積予測値下限,累積予測値上限,累積効果,累積効果下限,累積効果上限
???,calculated,preds,preds_lower,preds_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_y,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2017/4/1,235,215.6451821,-133376.3699,133807.6602,19.35481791,-133572.6602,133611.3699,,,,,,,
2017/5/1,313,239.3940425,56.77694289,422.0111422,73.60595745,-109.0111422,256.2230571,,,,,,,
2017/6/1,244,284.528495,126.3754638,442.6815262,-40.52849501,-198.6815262,117.6245362,,,,,,,
2017/7/1,268,299.5673849,150.4574244,448.6773454,-31.56738493,-180.6773454,117.5425756,,,,,,,
2017/8/1,279,254.5983177,110.2214289,398.9752065,24.40168232,-119.9752065,168.7785711,,,,,,,
2017/9/1,288,297.875578,156.4139418,439.3372142,-9.875577971,-151.3372142,131.5860582,,,,,,,
2017/10/1,339,300.4457373,160.9609553,439.9305192,38.55426275,-100.9305192,178.0390447,,,,,,,
2017/11/1,261,288.695456,150.6396157,426.7512964,-27.69545604,-165.7512964,110.3603843,,,,,,,
2017/12/1,157,308.9950413,172.0203131,445.9697696,-151.9950413,-288.9697696,-15.02031308,,,,,,,
2018/1/1,140,234.6244485,98.49618464,370.7527124,-94.62444852,-230.7527124,41.50381536,,,,,,,
2018/2/1,118,235.4900063,100.0424184,370.9375943,-117.4900063,-252.9375943,17.95758164,,,,,,,
2018/3/1,179,257.6483592,122.7599651,392.5367533,-78.64835918,-213.5367533,56.24003489,,,,,,,
2018/4/1,234,239.0162119,104.5953345,373.4370892,-5.016211878,-139.4370892,129.4046655,,,,,,,
2018/5/1,220,254.2053856,120.181137,388.2296341,-34.20538555,-168.2296341,99.81886305,,,,,,,
2018/6/1,175,245.6388444,111.9552803,379.3224085,-70.6388444,-204.3224085,63.0447197,,,,,,,
2018/7/1,237,256.314619,122.9268133,389.7024246,-19.31461899,-152.7024246,114.0731867,,,,,,,
2018/8/1,214,218.6647245,85.5360539,351.7933952,-4.664724548,-137.7933952,128.4639461,,,,,,,
2018/9/1,298,234.8039131,101.9041291,367.7036971,63.19608687,-69.70369711,196.0958709,,,,,,,
2018/10/1,487,259.3632051,126.6670359,392.0593743,227.6367949,94.94062568,360.3329641,,,,,,,
2018/11/1,282,289.4679184,156.9540335,421.9818033,-7.467918405,-139.9818033,125.0459665,,,,,,,
2018/12/1,124,266.6718702,134.3221014,399.0216389,-142.6718702,-275.0216389,-10.32210143,,,,,,,
2019/1/1,198,238.7865537,106.5852995,370.9878079,-40.78655367,-172.9878079,91.41470054,,,,,,,
2019/2/1,222,238.0183841,105.9521477,370.0846205,-16.01838406,-148.0846205,116.0478523,,,,,,,
2019/3/1,225,251.8605217,119.9175489,383.8034945,-26.86052167,-158.8034945,105.0824511,,,,,,,
2019/4/1,248,251.7058718,119.8758633,383.5358802,-3.705871793,-135.5358802,128.1241367,,,,,,,
2019/5/1,261,250.2948561,118.5687371,382.0209751,10.70514392,-121.0209751,142.4312629,,,,,,,
2019/6/1,272,262.4895181,130.8592513,394.1197849,9.510481927,-122.1197849,141.1407487,,,,,,,
2019/7/1,268,286.858637,155.3170705,418.4002034,-18.85863699,-150.4002034,112.6829295,,,,,,,
2019/8/1,214,239.1848937,107.7256356,370.6441518,-25.18489367,-156.6441518,106.2743644,,,,,,,
2019/9/1,276,251.6493167,120.2666309,383.0320025,24.35068327,-107.0320025,155.7333691,,,,,,,
2019/10/1,374,276.7293551,145.4180748,408.0406353,97.27064493,-34.04063534,228.5819252,,,,,,,
2019/11/1,340,256.3124548,125.0679095,387.557,83.68754524,-47.55700003,214.9320905,,,,,,,
2019/12/1,221,254.134037,122.9519909,385.316083,-33.13403696,-164.316083,98.04800906,,,,,,,
2020/1/1,212,238.434706,107.3113059,369.5581061,-26.43470601,-157.5581061,104.6886941,,,,,,,
2020/2/1,177,226.0273815,94.95911175,357.0956512,-49.02738145,-180.0956512,82.04088825,,,,,,,
2020/3/1,230,251.8801079,120.8637524,382.8964633,-21.88010788,-152.8964633,109.1362476,,,,,,,
2020/4/1,264,255.0492297,124.0818388,386.0166206,8.950770304,-122.0166206,139.9181612,,,,,,,
2020/5/1,231,213.1948837,82.27374537,344.116022,17.80511632,-113.116022,148.7262546,,,,,,,
2020/6/1,286,236.9783795,106.1009947,367.8557642,49.02162054,-81.85576421,179.8990053,,,,,,,
2020/7/1,331,250.0116525,119.1757135,380.8475915,80.98834748,-49.84759154,211.8242865,,,,,,,
2020/8/1,293,205.165943,74.36931413,335.9625719,87.83405697,-42.96257192,218.6306859,0,0,0,0,0,0,0
2020/9/1,783,251.6243133,120.8650144,382.3836121,531.3756867,400.6163879,662.1349856,783,251.6243133,119.469254,386.757793,531.3756867,396.242207,663.530746
2020/10/1,911,258.9568169,128.192779,389.7208548,652.0431831,521.2791452,782.807221,1694,510.5811302,307.8266258,695.5456022,1183.41887,998.4543978,1386.173374
,,,,,,,,,,,,,,
※I～O列の累積値は、介入期間のみ出力しています（介入期間外は空欄またはゼロ）。,,,,,,,,,,,,,,
