product_category_3,ymd,qty
ABC,20170403,29
ABC,20170425,24
ABC,20170426,23
ABC,20170523,24
ABC,20170524,26
ABC,20170529,21
ABC,20170601,28
ABC,20170602,32
ABC,20170605,41
ABC,20170606,33
ABC,20170607,23
ABC,20170612,28
ABC,20170615,36
ABC,20170619,28
ABC,20170626,23
ABC,20170629,19
ABC,20170630,25
ABC,20170703,58
ABC,20170707,29
ABC,20170710,39
ABC,20170711,23
ABC,20170713,23
ABC,20170720,27
ABC,20170725,27
ABC,20170726,45
ABC,20170727,25
ABC,20170801,29
ABC,20170807,30
ABC,20170817,23
ABC,20170821,27
ABC,20170822,21
ABC,20170823,23
ABC,20170824,22
ABC,20170829,21
ABC,20170830,24
ABC,20170906,23
ABC,20170919,30
ABC,20170922,31
ABC,20171002,28
ABC,20171003,19
ABC,20171020,40
ABC,20171023,21
ABC,20171024,30
ABC,20171101,32
ABC,20171107,59
ABC,20171109,27
ABC,20171130,28
ABC,20171205,32
ABC,20171211,24
ABC,20171213,25
ABC,20171218,22
ABC,20180116,21
ABC,20180122,35
ABC,20180123,19
ABC,20180124,21
ABC,20180126,24
ABC,20180131,22
ABC,20180207,23
ABC,20180306,34
ABC,20180319,19
ABC,20180320,41
ABC,20180323,24
ABC,20180326,39
ABC,20180402,29
ABC,20180424,29
ABC,20180507,22
ABC,20180515,26
ABC,20180517,19
ABC,20180525,19
ABC,20180530,24
ABC,20180604,24
ABC,20180608,53
ABC,20180613,21
ABC,20180620,25
ABC,20180622,22
ABC,20180702,19
ABC,20180712,24
ABC,20180717,24
ABC,20180719,28
ABC,20180723,34
ABC,20180806,21
ABC,20180808,21
ABC,20180810,19
ABC,20180820,35
ABC,20180824,21
ABC,20180827,22
ABC,20180828,26
ABC,20180831,38
ABC,20180903,38
ABC,20180910,24
ABC,20180911,26
ABC,20180914,46
ABC,20180918,34
ABC,20180926,21
ABC,20181002,37
ABC,20181003,40
ABC,20181009,19
ABC,20181010,30
ABC,20181015,51
ABC,20181023,30
ABC,20181025,62
ABC,20181030,27
ABC,20181101,27
ABC,20181105,26
ABC,20181106,37
ABC,20181107,36
ABC,20181114,19
ABC,20181120,22
ABC,20181126,81
ABC,20181127,28
ABC,20181129,21
ABC,20181204,26
ABC,20181206,40
ABC,20181218,34
ABC,20190110,25
ABC,20190201,21
ABC,20190308,28
ABC,20190403,26
ABC,20190404,66
ABC,20190408,27
ABC,20190409,33
ABC,20190415,34
ABC,20190419,21
ABC,20190422,33
ABC,20190423,25
ABC,20190516,29
ABC,20190529,28
ABC,20190531,19
ABC,20190603,22
ABC,20190604,36
ABC,20190607,25
ABC,20190612,24
ABC,20190614,19
ABC,20190621,28
ABC,20190701,34
ABC,20190702,21
ABC,20190712,27
ABC,20190723,24
ABC,20190726,22
ABC,20190730,26
ABC,20190802,22
ABC,20190821,30
ABC,20190826,23
ABC,20190830,23
ABC,20190902,23
ABC,20190904,26
ABC,20190909,22
ABC,20190917,39
ABC,20190918,22
ABC,20190925,19
ABC,20191001,23
ABC,20191004,28
ABC,20191007,40
ABC,20191009,48
ABC,20191010,19
ABC,20191018,22
ABC,20191021,25
ABC,20191023,27
ABC,20191030,26
ABC,20191105,19
ABC,20191106,25
ABC,20191107,28
ABC,20191111,30
ABC,20191112,31
ABC,20191114,19
ABC,20191119,30
ABC,20191129,44
ABC,20191202,34
ABC,20191204,22
ABC,20191209,29
ABC,20191211,19
ABC,20191212,31
ABC,20191216,41
ABC,20191219,22
ABC,20200114,32
ABC,20200130,22
ABC,20200217,32
ABC,20200225,39
ABC,20200228,24
ABC,20200318,27
ABC,20200319,21
ABC,20200325,26
ABC,20200407,29
ABC,20200413,23
ABC,20200420,21
ABC,20200427,25
ABC,20200428,21
ABC,20200511,24
ABC,20200518,31
ABC,20200521,19
ABC,20200605,19
ABC,20200608,22
ABC,20200609,22
ABC,20200612,25
ABC,20200615,32
ABC,20200616,45
ABC,20200622,25
ABC,20200623,32
