product_category_3,ymd,qty
ҳ7,20170403,29
ҳ7,20170425,24
ҳ7,20170426,23
ҳ7,20170523,24
ҳ7,20170524,26
ҳ7,20170529,21
ҳ7,20170601,28
ҳ7,20170602,32
ҳ7,20170605,41
ҳ7,20170606,33
ҳ7,20170607,23
ҳ7,20170612,28
ҳ7,20170615,36
ҳ7,20170619,28
ҳ7,20170626,23
ҳ7,20170629,19
ҳ7,20170630,25
ҳ7,20170703,58
ҳ7,20170707,29
ҳ7,20170710,39
ҳ7,20170711,23
ҳ7,20170713,23
ҳ7,20170720,27
ҳ7,20170725,27
ҳ7,20170726,45
ҳ7,20170727,25
ҳ7,20170801,29
ҳ7,20170807,30
ҳ7,20170817,23
ҳ7,20170821,27
ҳ7,20170822,21
ҳ7,20170823,23
ҳ7,20170824,22
ҳ7,20170829,21
ҳ7,20170830,24
ҳ7,20170906,23
ҳ7,20170919,30
ҳ7,20170922,31
ҳ7,20171002,28
ҳ7,20171003,19
ҳ7,20171020,40
ҳ7,20171023,21
ҳ7,20171024,30
ҳ7,20171101,32
ҳ7,20171107,59
ҳ7,20171109,27
ҳ7,20171130,28
ҳ7,20171205,32
ҳ7,20171211,24
ҳ7,20171213,25
ҳ7,20171218,22
ҳ7,20180116,21
ҳ7,20180122,35
ҳ7,20180123,19
ҳ7,20180124,21
ҳ7,20180126,24
ҳ7,20180131,22
ҳ7,20180207,23
ҳ7,20180306,34
ҳ7,20180319,19
ҳ7,20180320,41
ҳ7,20180323,24
ҳ7,20180326,39
ҳ7,20180402,29
ҳ7,20180424,29
ҳ7,20180507,22
ҳ7,20180515,26
ҳ7,20180517,19
ҳ7,20180525,19
ҳ7,20180530,24
ҳ7,20180604,24
ҳ7,20180608,53
ҳ7,20180613,21
ҳ7,20180620,25
ҳ7,20180622,22
ҳ7,20180702,19
ҳ7,20180712,24
ҳ7,20180717,24
ҳ7,20180719,28
ҳ7,20180723,34
ҳ7,20180806,21
ҳ7,20180808,21
ҳ7,20180810,19
ҳ7,20180820,35
ҳ7,20180824,21
ҳ7,20180827,22
ҳ7,20180828,26
ҳ7,20180831,38
ҳ7,20180903,38
ҳ7,20180910,24
ҳ7,20180911,26
ҳ7,20180914,46
ҳ7,20180918,34
ҳ7,20180926,21
ҳ7,20181002,37
ҳ7,20181003,40
ҳ7,20181009,19
ҳ7,20181010,30
ҳ7,20181015,51
ҳ7,20181023,30
ҳ7,20181025,62
ҳ7,20181030,27
ҳ7,20181101,27
ҳ7,20181105,26
ҳ7,20181106,37
ҳ7,20181107,36
ҳ7,20181114,19
ҳ7,20181120,22
ҳ7,20181126,81
ҳ7,20181127,28
ҳ7,20181129,21
ҳ7,20181204,26
ҳ7,20181206,40
ҳ7,20181218,34
ҳ7,20190110,25
ҳ7,20190201,21
ҳ7,20190308,28
ҳ7,20190403,26
ҳ7,20190404,66
ҳ7,20190408,27
ҳ7,20190409,33
ҳ7,20190415,34
ҳ7,20190419,21
ҳ7,20190422,33
ҳ7,20190423,25
ҳ7,20190516,29
ҳ7,20190529,28
ҳ7,20190531,19
ҳ7,20190603,22
ҳ7,20190604,36
ҳ7,20190607,25
