,ymd,qty
2017/4/1,20170401,36520
2017/5/1,20170501,37489
2017/6/1,20170601,39326
2017/7/1,20170701,45622
2017/8/1,20170801,37446
2017/9/1,20170901,45913
2017/10/1,20171001,46843
2017/11/1,20171101,43036
2017/12/1,20171201,48277
2018/1/1,20180101,35607
2018/2/1,20180201,37889
2018/3/1,20180301,45137
2018/4/1,20180401,42478
2018/5/1,20180501,45913
2018/6/1,20180601,44565
2018/7/1,20180701,47963
2018/8/1,20180801,39928
2018/9/1,20180901,43548
2018/10/1,20181001,48184
2018/11/1,20181101,52159
2018/12/1,20181201,47215
2019/1/1,20190101,42579
2019/2/1,20190201,42823
2019/3/1,20190301,46031
2019/4/1,20190401,46247
2019/5/1,20190501,45969
2019/6/1,20190601,48566
2019/7/1,20190701,53861
2019/8/1,20190801,43499
2019/9/1,20190901,46443
2019/10/1,20191001,51791
2019/11/1,20191101,46581
2019/12/1,20191201,45510
2020/1/1,20200101,42275
2020/2/1,20200201,39715
2020/3/1,20200301,45734
2020/4/1,20200401,46571
2020/5/1,20200501,37286
2020/6/1,20200601,42424
2020/7/1,20200701,45011
2020/8/1,20200801,34658
2020/9/1,20200901,44412
2020/10/1,20201001,46029
2020/11/1,20201101,41718
2020/12/1,20201201,43636
2021/1/1,20210101,35747
2021/2/1,20210201,36519
2021/3/1,20210301,45647
2021/4/1,20210401,43633
2021/5/1,20210501,36188
2021/6/1,20210601,42658
2021/7/1,20210701,44609
2021/8/1,20210801,39572
2021/9/1,20210901,46767
2021/10/1,20211001,48710
2021/11/1,20211101,46838
2021/12/1,20211201,44014
2022/1/1,20220101,30272
2022/2/1,20220201,36910
2022/3/1,20220301,43471
2022/4/1,20220401,43490
2022/5/1,20220501,41258
2022/6/1,20220601,48023
2022/7/1,20220701,46840
2022/8/1,20220801,41455
2022/9/1,20220901,49131
2022/10/1,20221001,46289
2022/11/1,20221101,48818
2022/12/1,20221201,44701
2023/1/1,20230101,39870
2023/2/1,20230201,39957
2023/3/1,20230301,44227
2023/4/1,20230401,40754
2023/5/1,20230501,41071
2023/6/1,20230601,41347
2023/7/1,20230701,41116
2023/8/1,20230801,38056
2023/9/1,20230901,40399
2023/10/1,20231001,43752
2023/11/1,20231101,41833
2023/12/1,20231201,38400
2024/1/1,20240101,31106
2024/2/1,20240201,33399
2024/3/1,20240301,35280
2024/4/1,20240401,36443
2024/5/1,20240501,38941
2024/6/1,20240601,36117
