,ymd,qty
2017/4/1,20170401,235
2017/5/1,20170501,313
2017/6/1,20170601,244
2017/7/1,20170701,268
2017/8/1,20170801,279
2017/9/1,20170901,288
2017/10/1,20171001,339
2017/11/1,20171101,261
2017/12/1,20171201,157
2018/1/1,20180101,140
2018/2/1,20180201,118
2018/3/1,20180301,179
2018/4/1,20180401,234
2018/5/1,20180501,220
2018/6/1,20180601,175
2018/7/1,20180701,237
2018/8/1,20180801,214
2018/9/1,20180901,298
2018/10/1,20181001,487
2018/11/1,20181101,282
2018/12/1,20181201,124
2019/1/1,20190101,198
2019/2/1,20190201,222
2019/3/1,20190301,225
2019/4/1,20190401,248
2019/5/1,20190501,261
2019/6/1,20190601,272
2019/7/1,20190701,268
2019/8/1,20190801,214
2019/9/1,20190901,276
2019/10/1,20191001,374
2019/11/1,20191101,340
2019/12/1,20191201,221
2020/1/1,20200101,212
2020/2/1,20200201,177
2020/3/1,20200301,230
2020/4/1,20200401,264
2020/5/1,20200501,231
2020/6/1,20200601,286
2020/7/1,20200701,331
2020/8/1,20200801,293
2020/9/1,20200901,783
2020/10/1,20201001,911
2020/11/1,20201101,440
2020/12/1,20201201,270
2021/1/1,20210101,186
2021/2/1,20210201,240
2021/3/1,20210301,311
2021/4/1,20210401,333
2021/5/1,20210501,300
2021/6/1,20210601,312
2021/7/1,20210701,313
2021/8/1,20210801,196
2021/9/1,20210901,245
2021/10/1,20211001,190
2021/11/1,20211101,131
2021/12/1,20211201,147
2022/1/1,20220101,106
2022/2/1,20220201,143
2022/3/1,20220301,147
2022/4/1,20220401,128
2022/5/1,20220501,176
2022/6/1,20220601,124
2022/7/1,20220701,113
2022/8/1,20220801,93
2022/9/1,20220901,211
2022/10/1,20221001,287
2022/11/1,20221101,177
2022/12/1,20221201,122
2023/1/1,20230101,81
2023/2/1,20230201,119
2023/3/1,20230301,142
2023/4/1,20230401,144
2023/5/1,20230501,135
2023/6/1,20230601,148
2023/7/1,20230701,134
2023/8/1,20230801,116
2023/9/1,20230901,110
2023/10/1,20231001,123
2023/11/1,20231101,96
2023/12/1,20231201,53
2024/1/1,20240101,50
2024/2/1,20240201,71
2024/3/1,20240301,67
2024/4/1,20240401,75
2024/5/1,20240501,101
2024/6/1,20240601,110
