product_category_3,ymd,qty
ҳ3,20170403,35
ҳ3,20170419,39
ҳ3,20170420,31
ҳ3,20170421,28
ҳ3,20170424,40
ҳ3,20170428,33
ҳ3,20170508,38
ҳ3,20170510,41
ҳ3,20170511,21
ҳ3,20170515,36
ҳ3,20170522,23
ҳ3,20170523,31
ҳ3,20170524,21
ҳ3,20170525,26
ҳ3,20170530,32
ҳ3,20170601,33
ҳ3,20170613,41
ҳ3,20170628,31
ҳ3,20170703,48
ҳ3,20170704,27
ҳ3,20170713,21
ҳ3,20170718,25
ҳ3,20170720,27
ҳ3,20170721,22
ҳ3,20170728,28
ҳ3,20170807,21
ҳ3,20170809,28
ҳ3,20170810,32
ҳ3,20170817,30
ҳ3,20170905,22
ҳ3,20170908,21
ҳ3,20170911,25
ҳ3,20170915,22
ҳ3,20170925,22
ҳ3,20170928,24
ҳ3,20170929,23
ҳ3,20171002,37
ҳ3,20171019,26
ҳ3,20171023,39
ҳ3,20171027,29
ҳ3,20171031,25
ҳ3,20171101,26
ҳ3,20171106,35
ҳ3,20171109,21
ҳ3,20171110,32
ҳ3,20171114,38
ҳ3,20171122,31
ҳ3,20171124,23
ҳ3,20171127,29
ҳ3,20171205,30
ҳ3,20171226,22
ҳ3,20180123,29
ҳ3,20180131,19
ҳ3,20180202,21
ҳ3,20180216,23
ҳ3,20180305,25
ҳ3,20180319,22
ҳ3,20180323,21
ҳ3,20180329,19
ҳ3,20180403,21
ҳ3,20180413,21
ҳ3,20180416,36
ҳ3,20180417,26
ҳ3,20180425,26
ҳ3,20180426,31
ҳ3,20180501,35
ҳ3,20180509,33
ҳ3,20180511,30
ҳ3,20180514,35
ҳ3,20180515,38
ҳ3,20180521,30
ҳ3,20180522,38
ҳ3,20180528,28
ҳ3,20180530,23
ҳ3,20180614,22
ҳ3,20180618,21
ҳ3,20180622,26
ҳ3,20180628,22
ҳ3,20180710,21
ҳ3,20180711,38
ҳ3,20180717,36
ҳ3,20180719,29
ҳ3,20180725,34
ҳ3,20180726,27
ҳ3,20180731,102
ҳ3,20180806,19
ҳ3,20180808,19
ҳ3,20180820,32
ҳ3,20180823,21
ҳ3,20180827,22
ҳ3,20180911,24
ҳ3,20180913,29
ҳ3,20180918,33
ҳ3,20180919,29
ҳ3,20180920,26
ҳ3,20180925,27
ҳ3,20181003,19
ҳ3,20181012,24
ҳ3,20181022,25
ҳ3,20181030,42
ҳ3,20181101,39
ҳ3,20181105,25
ҳ3,20181108,34
ҳ3,20181112,37
ҳ3,20181121,19
ҳ3,20181126,38
ҳ3,20181128,24
ҳ3,20181129,25
ҳ3,20181204,28
ҳ3,20181205,28
ҳ3,20181211,29
ҳ3,20181212,30
ҳ3,20181214,28
ҳ3,20181225,25
ҳ3,20190130,23
ҳ3,20190208,34
ҳ3,20190214,26
ҳ3,20190218,27
ҳ3,20190219,26
ҳ3,20190222,38
ҳ3,20190225,19
ҳ3,20190228,19
ҳ3,20190304,21
ҳ3,20190308,22
ҳ3,20190311,28
ҳ3,20190312,21
ҳ3,20190313,22
ҳ3,20190318,36
ҳ3,20190320,24
ҳ3,20190325,31
ҳ3,20190328,21
ҳ3,20190402,39
ҳ3,20190403,71
ҳ3,20190410,39
ҳ3,20190417,39
ҳ3,20190418,28
ҳ3,20190419,24
ҳ3,20190423,32
ҳ3,20190507,31
ҳ3,20190508,32
ҳ3,20190513,21
ҳ3,20190514,40
ҳ3,20190517,30
ҳ3,20190520,31
ҳ3,20190521,24
ҳ3,20190523,27
ҳ3,20190524,27
ҳ3,20190528,28
ҳ3,20190603,38
ҳ3,20190605,23
ҳ3,20190613,25
ҳ3,20190620,25
ҳ3,20190621,22
ҳ3,20190624,36
ҳ3,20190701,23
ҳ3,20190702,31
ҳ3,20190703,32
ҳ3,20190704,29
ҳ3,20190705,38
ҳ3,20190708,22
ҳ3,20190709,26
ҳ3,20190710,24
ҳ3,20190711,32
ҳ3,20190717,28
ҳ3,20190725,34
ҳ3,20190729,29
ҳ3,20190730,40
ҳ3,20190731,26
ҳ3,20190820,31
ҳ3,20190822,28
ҳ3,20190828,42
ҳ3,20190829,27
ҳ3,20190903,22
ҳ3,20190905,22
ҳ3,20190906,35
ҳ3,20190910,30
ҳ3,20190917,28
ҳ3,20190924,43
ҳ3,20190927,27
ҳ3,20190930,35
ҳ3,20191002,33
ҳ3,20191004,28
ҳ3,20191007,37
ҳ3,20191008,27
ҳ3,20191015,107
ҳ3,20191016,26
ҳ3,20191017,29
ҳ3,20191021,19
ҳ3,20191025,36
ҳ3,20191028,53
ҳ3,20191029,38
ҳ3,20191101,23
ҳ3,20191105,33
ҳ3,20191111,52
ҳ3,20191112,29
ҳ3,20191114,27
ҳ3,20191115,34
ҳ3,20191118,68
ҳ3,20191119,28
ҳ3,20191121,45
ҳ3,20191122,22
ҳ3,20191125,30
ҳ3,20191127,27
