product_category_3,ymd,qty
DEF,20170403,35
DEF,20170419,39
DEF,20170420,31
DEF,20170421,28
DEF,20170424,40
DEF,20170428,33
DEF,20170508,38
DEF,20170510,41
DEF,20170511,21
DEF,20170515,36
DEF,20170522,23
DEF,20170523,31
DEF,20170524,21
DEF,20170525,26
DEF,20170530,32
DEF,20170601,33
DEF,20170613,41
DEF,20170628,31
DEF,20170703,48
DEF,20170704,27
DEF,20170713,21
DEF,20170718,25
DEF,20170720,27
DEF,20170721,22
DEF,20170728,28
DEF,20170807,21
DEF,20170809,28
DEF,20170810,32
DEF,20170817,30
DEF,20170905,22
DEF,20170908,21
DEF,20170911,25
DEF,20170915,22
DEF,20170925,22
DEF,20170928,24
DEF,20170929,23
DEF,20171002,37
DEF,20171019,26
DEF,20171023,39
DEF,20171027,29
DEF,20171031,25
DEF,20171101,26
DEF,20171106,35
DEF,20171109,21
DEF,20171110,32
DEF,20171114,38
DEF,20171122,31
DEF,20171124,23
DEF,20171127,29
DEF,20171205,30
DEF,20171226,22
DEF,20180123,29
DEF,20180131,19
DEF,20180202,21
DEF,20180216,23
DEF,20180305,25
DEF,20180319,22
DEF,20180323,21
DEF,20180329,19
DEF,20180403,21
DEF,20180413,21
DEF,20180416,36
DEF,20180417,26
DEF,20180425,26
DEF,20180426,31
DEF,20180501,35
DEF,20180509,33
DEF,20180511,30
DEF,20180514,35
DEF,20180515,38
DEF,20180521,30
DEF,20180522,38
DEF,20180528,28
DEF,20180530,23
DEF,20180614,22
DEF,20180618,21
DEF,20180622,26
DEF,20180628,22
DEF,20180710,21
DEF,20180711,38
DEF,20180717,36
DEF,20180719,29
DEF,20180725,34
DEF,20180726,27
DEF,20180731,102
DEF,20180806,19
DEF,20180808,19
DEF,20180820,32
DEF,20180823,21
DEF,20180827,22
DEF,20180911,24
DEF,20180913,29
DEF,20180918,33
DEF,20180919,29
DEF,20180920,26
DEF,20180925,27
DEF,20181003,19
DEF,20181012,24
DEF,20181022,25
DEF,20181030,42
DEF,20181101,39
DEF,20181105,25
DEF,20181108,34
DEF,20181112,37
DEF,20181121,19
DEF,20181126,38
DEF,20181128,24
DEF,20181129,25
DEF,20181204,28
DEF,20181205,28
DEF,20181211,29
DEF,20181212,30
DEF,20181214,28
DEF,20181225,25
DEF,20190130,23
DEF,20190208,34
DEF,20190214,26
DEF,20190218,27
DEF,20190219,26
DEF,20190222,38
DEF,20190225,19
DEF,20190228,19
DEF,20190304,21
DEF,20190308,22
DEF,20190311,28
DEF,20190312,21
DEF,20190313,22
DEF,20190318,36
DEF,20190320,24
DEF,20190325,31
DEF,20190328,21
DEF,20190402,39
DEF,20190403,71
DEF,20190410,39
DEF,20190417,39
DEF,20190418,28
DEF,20190419,24
DEF,20190423,32
